antecedents,consequents,support,confidence
"frozenset({'수입식물', '공기정화식물'})",frozenset({'관엽식물'}),0.003614676,0.25
"frozenset({'관엽식물', '공기정화식물'})",frozenset({'수입식물'}),0.003614676,0.162601626
"frozenset({'수입식물', '관엽식물'})",frozenset({'공기정화식물'}),0.003614676,0.350877193
frozenset({'공기정화식물'}),"frozenset({'수입식물', '관엽식물'})",0.003614676,0.037243948
frozenset({'수입식물'}),"frozenset({'관엽식물', '공기정화식물'})",0.003614676,0.065789474
frozenset({'관엽식물'}),"frozenset({'수입식물', '공기정화식물'})",0.003614676,0.0456621
frozenset({'공기정화식물'}),frozenset({'수생/식충/과실수'}),0.003433942,0.03538175
frozenset({'수생/식충/과실수'}),frozenset({'공기정화식물'}),0.003433942,0.25
frozenset({'다육'}),frozenset({'수입식물'}),0.003433942,0.1
frozenset({'수입식물'}),frozenset({'다육'}),0.003433942,0.0625
frozenset({'공기정화식물'}),frozenset({'선인장'}),0.003253208,0.033519553
frozenset({'선인장'}),frozenset({'공기정화식물'}),0.003253208,0.236842105
frozenset({'묘목/조경/관목'}),frozenset({'야생화'}),0.003253208,0.153846154
frozenset({'야생화'}),frozenset({'묘목/조경/관목'}),0.003253208,0.040449438
frozenset({'수입식물'}),frozenset({'흙/마사/스톤'}),0.003253208,0.059210526
frozenset({'흙/마사/스톤'}),frozenset({'수입식물'}),0.003253208,0.040723982
"frozenset({'다육', '공기정화식물'})",frozenset({'관엽식물'}),0.003072474,0.361702128
"frozenset({'관엽식물', '공기정화식물'})",frozenset({'다육'}),0.003072474,0.138211382
"frozenset({'다육', '관엽식물'})",frozenset({'공기정화식물'}),0.003072474,0.386363636
frozenset({'공기정화식물'}),"frozenset({'다육', '관엽식물'})",0.003072474,0.031657356
frozenset({'다육'}),"frozenset({'관엽식물', '공기정화식물'})",0.003072474,0.089473684
frozenset({'관엽식물'}),"frozenset({'다육', '공기정화식물'})",0.003072474,0.038812785
frozenset({'다육'}),frozenset({'공중식물'}),0.00289174,0.084210526
frozenset({'공중식물'}),frozenset({'다육'}),0.00289174,0.082901554
frozenset({'인테리어식물'}),frozenset({'허브'}),0.002711007,0.031055901
frozenset({'허브'}),frozenset({'인테리어식물'}),0.002711007,0.375
frozenset({'인테리어식물'}),frozenset({'화분'}),0.002711007,0.031055901
frozenset({'화분'}),frozenset({'인테리어식물'}),0.002711007,0.071090047
frozenset({'야생화'}),frozenset({'화분'}),0.002711007,0.033707865
frozenset({'화분'}),frozenset({'야생화'}),0.002711007,0.071090047
frozenset({'다육'}),frozenset({'흙/마사/스톤'}),0.002711007,0.078947368
frozenset({'흙/마사/스톤'}),frozenset({'다육'}),0.002711007,0.033936652
frozenset({'모종'}),frozenset({'화분'}),0.002711007,0.166666667
frozenset({'화분'}),frozenset({'모종'}),0.002711007,0.071090047
"frozenset({'인테리어식물', '공기정화식물'})",frozenset({'야생화'}),0.002711007,0.142857143
"frozenset({'야생화', '공기정화식물'})",frozenset({'인테리어식물'}),0.002711007,0.163043478
"frozenset({'인테리어식물', '야생화'})",frozenset({'공기정화식물'}),0.002711007,0.263157895
frozenset({'공기정화식물'}),"frozenset({'인테리어식물', '야생화'})",0.002711007,0.027932961
frozenset({'인테리어식물'}),"frozenset({'야생화', '공기정화식물'})",0.002711007,0.031055901
frozenset({'야생화'}),"frozenset({'인테리어식물', '공기정화식물'})",0.002711007,0.033707865
frozenset({'화분'}),frozenset({'관엽식물'}),0.002530273,0.066350711
frozenset({'관엽식물'}),frozenset({'화분'}),0.002530273,0.03196347
frozenset({'특가세일'}),frozenset({'관엽식물'}),0.002530273,0.037735849
frozenset({'관엽식물'}),frozenset({'특가세일'}),0.002530273,0.03196347
frozenset({'야생화'}),frozenset({'허브'}),0.002530273,0.031460674
frozenset({'허브'}),frozenset({'야생화'}),0.002530273,0.35
"frozenset({'공중식물', '공기정화식물'})",frozenset({'관엽식물'}),0.002530273,0.285714286
"frozenset({'관엽식물', '공기정화식물'})",frozenset({'공중식물'}),0.002530273,0.113821138
"frozenset({'공중식물', '관엽식물'})",frozenset({'공기정화식물'}),0.002530273,0.482758621
frozenset({'공기정화식물'}),"frozenset({'공중식물', '관엽식물'})",0.002530273,0.026070764
frozenset({'공중식물'}),"frozenset({'관엽식물', '공기정화식물'})",0.002530273,0.07253886
frozenset({'관엽식물'}),"frozenset({'공중식물', '공기정화식물'})",0.002530273,0.03196347
"frozenset({'인테리어식물', '야생화'})",frozenset({'관엽식물'}),0.002530273,0.245614035
"frozenset({'인테리어식물', '관엽식물'})",frozenset({'야생화'}),0.002530273,0.237288136
"frozenset({'관엽식물', '야생화'})",frozenset({'인테리어식물'}),0.002530273,0.189189189
frozenset({'인테리어식물'}),"frozenset({'관엽식물', '야생화'})",0.002530273,0.028985507
frozenset({'야생화'}),"frozenset({'인테리어식물', '관엽식물'})",0.002530273,0.031460674
frozenset({'관엽식물'}),"frozenset({'인테리어식물', '야생화'})",0.002530273,0.03196347
"frozenset({'인테리어식물', '공기정화식물'})",frozenset({'공중식물'}),0.002530273,0.133333333
"frozenset({'공중식물', '공기정화식물'})",frozenset({'인테리어식물'}),0.002530273,0.285714286
"frozenset({'공중식물', '인테리어식물'})",frozenset({'공기정화식물'}),0.002530273,0.378378378
frozenset({'공기정화식물'}),"frozenset({'공중식물', '인테리어식물'})",0.002530273,0.026070764
frozenset({'인테리어식물'}),"frozenset({'공중식물', '공기정화식물'})",0.002530273,0.028985507
frozenset({'공중식물'}),"frozenset({'인테리어식물', '공기정화식물'})",0.002530273,0.07253886
"frozenset({'수입식물', '공기정화식물'})",frozenset({'공중식물'}),0.002530273,0.175
"frozenset({'공중식물', '공기정화식물'})",frozenset({'수입식물'}),0.002530273,0.285714286
"frozenset({'수입식물', '공중식물'})",frozenset({'공기정화식물'}),0.002530273,0.28
frozenset({'공기정화식물'}),"frozenset({'수입식물', '공중식물'})",0.002530273,0.026070764
frozenset({'수입식물'}),"frozenset({'공중식물', '공기정화식물'})",0.002530273,0.046052632
frozenset({'공중식물'}),"frozenset({'수입식물', '공기정화식물'})",0.002530273,0.07253886
"frozenset({'수입식물', '공기정화식물'})",frozenset({'야생화'}),0.002530273,0.175
"frozenset({'야생화', '공기정화식물'})",frozenset({'수입식물'}),0.002530273,0.152173913
"frozenset({'수입식물', '야생화'})",frozenset({'공기정화식물'}),0.002530273,0.333333333
frozenset({'공기정화식물'}),"frozenset({'수입식물', '야생화'})",0.002530273,0.026070764
frozenset({'수입식물'}),"frozenset({'야생화', '공기정화식물'})",0.002530273,0.046052632
frozenset({'야생화'}),"frozenset({'수입식물', '공기정화식물'})",0.002530273,0.031460674
frozenset({'특가세일'}),frozenset({'야생화'}),0.002349539,0.035040431
frozenset({'야생화'}),frozenset({'특가세일'}),0.002349539,0.029213483
"frozenset({'야생화', '공기정화식물'})",frozenset({'공중식물'}),0.002349539,0.141304348
"frozenset({'공중식물', '공기정화식물'})",frozenset({'야생화'}),0.002349539,0.265306122
"frozenset({'공중식물', '야생화'})",frozenset({'공기정화식물'}),0.002349539,0.481481481
frozenset({'공기정화식물'}),"frozenset({'공중식물', '야생화'})",0.002349539,0.024208566
frozenset({'야생화'}),"frozenset({'공중식물', '공기정화식물'})",0.002349539,0.029213483
frozenset({'공중식물'}),"frozenset({'야생화', '공기정화식물'})",0.002349539,0.067357513
"frozenset({'다육', '공기정화식물'})",frozenset({'야생화'}),0.002349539,0.276595745
"frozenset({'야생화', '공기정화식물'})",frozenset({'다육'}),0.002349539,0.141304348
"frozenset({'다육', '야생화'})",frozenset({'공기정화식물'}),0.002349539,0.351351351
frozenset({'공기정화식물'}),"frozenset({'다육', '야생화'})",0.002349539,0.024208566
frozenset({'다육'}),"frozenset({'야생화', '공기정화식물'})",0.002349539,0.068421053
frozenset({'야생화'}),"frozenset({'다육', '공기정화식물'})",0.002349539,0.029213483
frozenset({'공기정화식물'}),frozenset({'허브'}),0.002168805,0.022346369
frozenset({'허브'}),frozenset({'공기정화식물'}),0.002168805,0.3
frozenset({'공기정화식물'}),frozenset({'화분'}),0.002168805,0.022346369
frozenset({'화분'}),frozenset({'공기정화식물'}),0.002168805,0.056872038
frozenset({'모종'}),frozenset({'야생화'}),0.002168805,0.133333333
frozenset({'야생화'}),frozenset({'모종'}),0.002168805,0.026966292
frozenset({'인테리어식물'}),frozenset({'선인장'}),0.001988072,0.022774327
frozenset({'선인장'}),frozenset({'인테리어식물'}),0.001988072,0.144736842
